index,trial_url,Study (disease • registry),Disease Category,Disease Area,Method,Enrollment (target),Countries (per CMN page),In US?,Start year,Last-updated year,Gene-editing method,Gene-editing category,Phase 1,Phase 2,Phase 3,Countries (per CMN page),,China,#ERROR!
0,https://crisprmedicinenews.com/clinical-trial/lupus-nephritis-nct06681337/,A Clinical Study of the Safety and Efficacy of Universal CAR-T Cells Targeting BCMA and CD19 for the Treatment of Refractory Lupus Nephritis,Lupus Nephritis,Autoimmune Diseases,Ex-vivo,10,China,No,2024,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
1,https://crisprmedicinenews.com/clinical-trial/multiple-sclerosis-nct07008378/,"Multiple Sclerosis, (NCT07008378)",Multiple Sclerosis,Autoimmune Diseases,Ex-vivo,60,United States,Yes,2025,2025,Cas-CLOVER,CAS-CLOVER,1,0,0,United States,,,
2,https://crisprmedicinenews.com/clinical-trial/neuromyelitis-optica-spectrum-disease-nmosd-nct06633042/,The Safety and Efficacy of Universal CAR-T Cells Targeting BCMA in the Treatment of Refractory AQP4 Antibody Positive Neuromyelitis Optica Spectrum Disease,Neuromyelitis Optica Spectrum Disease,Autoimmune Diseases,Ex-vivo,18,,No,2024,2025,CRISPR,CRISPR-Cas,1,1,0,,,,
3,https://crisprmedicinenews.com/clinical-trial/refractory-autoimmune-disease-nct06925542/,A Phase 1 Dose Evaluation Study of the Safety and Preliminary Efficacy of Anti-CD19 Allogeneic CRISPR-Cas9-Engineered T Cells (CTX112) in Adult Subjects With Refractory Autoimmune Disease,Refractory Autoimmune Disease,Autoimmune Diseases,Ex-vivo,80,"United States, Germany",Yes,2025,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,"United States, Germany",,,
4,https://crisprmedicinenews.com/clinical-trial/refractory-autoimmune-diseases-nct06485232/,An Exploratory Study on the Safety and Efficacy of Universal CAR-T Cells Targeting BCMA and CD19 in the Treatment of Refractory Autoimmune Diseases of the Nervous System,Refractory Autoimmune Diseases,Autoimmune Diseases,Ex-vivo,25,China,No,2024,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
5,https://crisprmedicinenews.com/clinical-trial/refractory-systemic-lupus-erythematosus-sle-nct07083349/,"An Open, Single-Center Exploratory Clinical Study of NK510 Cell Therapy for Refractory Systemic Lupus Erythematosus","Refractory Systemic Lupus Erythematosus, SLE",Autoimmune Diseases,Ex-vivo,9,China,Yes,2025,2025,AccuBase® base editor,Base editing,1,0,0,China,,1,
6,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-autoimmune-diseases-nct05859997/,A Clinical Study on the Safety and Efficacy of Universal CAR-T Cells (BRL-301) in the Treatment of Relapse or Refractory Autoimmune Diseases,Relapsed or Refractory Autoimmune Diseases,Autoimmune Diseases,Ex-vivo,15,China,No,2023,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
7,https://crisprmedicinenews.com/clinical-trial/systemic-lupus-erythematosus-sle-nct05988216/,A Clinical Study on the Safety and Efficacy of BRL-301 (Allogeneic Chimeric Antigen Receptor T Cell Injection Targeting CD19 Gene) in the Treatment of Refractory Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Autoimmune Diseases,Ex-vivo,12,China,No,2023,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
8,https://crisprmedicinenews.com/clinical-trial/systemic-lupus-erythematosus-sle-nct06255028/,"The CALiPSO-1 Study: A Study of CNTY-101, a CD19-targeted CAR iNK Cell Product, in Participants With Moderate to Severe Systemic Lupus Erythematosus",Systemic Lupus Erythematosus,Autoimmune Diseases,Ex-vivo,26,,No,2024,2025,CRISPR,CRISPR-Cas,1,0,0,,,,
9,https://crisprmedicinenews.com/clinical-trial/systemic-lupus-erythematosus-sle-nct06308978/,A Phase 1 Study of FT819 in Participants With Moderate to Severe Active Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Autoimmune Diseases,Ex-vivo,32,United States,Yes,2024,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,United States,,,
